,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
2,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 723 more,26 years old,10000+ employees
3,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
4,HDFC Bank,4.0,10.9k Reviews,Public,Mumbai + 691 more,26 years old,10000+ employees
5,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
6,L&T,4.1,10.1k Reviews,Public,Mumbai + 332 more,82 years old,10000+ employees
7,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
8,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 137 more,34 years old,10000+ employees
9,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
10,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
11,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
12,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
13,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
14,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 641 more,27 years old,10000+ employees
15,Wipro,3.8,6.5k Reviews,Public,Bangalore + 114 more,75 years old,10000+ employees
16,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
17,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
18,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 432 more,13 years old,10000+ employees
19,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
20,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
21,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
22,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
23,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
24,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 449 more,13 years old,10000+ employees
25,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 353 more,26 years old,10000+ employees
26,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
27,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
28,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
29,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
30,Maruti Suzuki,4.2,3.1k Reviews,Public,"New Delhi,India + 266 more",39 years old,10000+ employees
31,IDEA Cellular,4.3,3k Reviews,Partnership,Mumbai + 284 more,25 years old,10000+ employees
32,Intelenet Global Service...,3.7,2.9k Reviews,Private,Mumbai + 54 more,20 years old,10000+ employees
33,Teleperformance,3.8,2.9k Reviews,Private,Paris + 36 more,42 years old,10000+ employees
34,WNS,3.7,2.8k Reviews,Private,Mumbai + 15 more,24 years old,10000+ employees
35,Reliance Retail,4.2,2.8k Reviews,Private,Mumbai + 229 more,14 years old,10000+ employees
36,ICICI Prudential Life In...,4.2,2.7k Reviews,Public,Mumbai + 317 more,19 years old,10000+ employees
37,Cipla Pharmaceutical,4.0,2.7k Reviews,Public,Mumbai + 140 more,85 years old,10000+ employees
38,Aegis Global,3.6,2.7k Reviews,Private,Mumbai + 35 more,37 years old,10000+ employees
39,HSBC,4.1,2.6k Reviews,Private,London + 34 more,155 years old,10000+ employees
40,Janalakshmi Financial Se...,3.8,2.6k Reviews,Public,Bangalore + 224 more,12 years old,10000+ employees
41,Reliance Communications,3.9,2.6k Reviews,Public,Navi Mumbai + 299 more,18 years old,10000+ employees
42,Dr. Reddy's,4.2,2.5k Reviews,Public,Hyderabad + 96 more,36 years old,10000+ employees
43,Sutherland Global Servic...,3.9,2.5k Reviews,Private,Pittsford + 19 more,34 years old,10000+ employees
44,DXC Technology,3.2,2.4k Reviews,Public,Tysons + 21 more,3 years old,10000+ employees
45,Hewlett-Packard,4.3,2.4k Reviews,Private,California + 49 more,81 years old,10000+ employees
46,Future Group,4.2,2.4k Reviews,Private,Mumbai + 165 more,33 years old,10000+ employees
47,Home Credit Finance,4.0,2.3k Reviews,Private,Gurugram + 74 more,8 years old,10000+ employees
48,Aditya Birla Fashion and...,4.2,2.3k Reviews,Private,Mumbai + 189 more,5 years old,10000+ employees
49,Bajaj Allianz Life Insur...,4.1,2.3k Reviews,Private,Pune + 300 more,19 years old,10000+ employees
50,Mphasis,3.8,2.3k Reviews,Public,Bangalore + 29 more,20 years old,10000+ employees
51,Yes Bank,3.8,2.3k Reviews,Public,Mumbai + 232 more,16 years old,10000+ employees
52,Flipkart,4.3,2.2k Reviews,Private,Bangalore + 177 more,13 years old,10000+ employees
53,Lupin,4.2,2.2k Reviews,Public,Mumbai + 99 more,52 years old,10000+ employees
54,WIPRO CONSUMER CARE & LI...,3.8,2.1k Reviews,Private,Bengaluru + 53 more,75 years old,5001-10000 employees
55,Ernst & Young,3.8,2.1k Reviews,Private,London + 40 more,31 years old,10000+ employees
56,OPPO,4.0,2.1k Reviews,Public,Shenzhen + 239 more,16 years old,10000+ employees
57,HDFC LIFE,4.0,2.1k Reviews,Partnership,Mumbai + 287 more,20 years old,10000+ employees
58,Asian Paints,4.3,2.1k Reviews,Public,Mumbai + 184 more,78 years old,5001-10000 employees
59,PayTM,4.0,2.1k Reviews,Private,Noida + 174 more,10 years old,10000+ employees
60,Unilever,4.4,2k Reviews,Public,London + 223 more,91 years old,10000+ employees
61,Deloitte,3.9,2k Reviews,Private,New York + 29 more,175 years old,10000+ employees
62,Nokia,4.4,2k Reviews,Private,Espoo + 142 more,155 years old,10000+ employees
63,Wipro Infotech,3.9,2k Reviews,Private,Bangalore + 106 more,75 years old,10000+ employees
64,Wipro BPS,3.8,1.9k Reviews,Bengaluru + 22 more,20 years old,10000+ employees,
65,Shriram Transport Financ...,4.1,1.9k Reviews,Public,Mumbai + 407 more,41 years old,10000+ employees
66,Ashok Leyland,4.3,1.9k Reviews,Public,Chennai + 129 more,72 years old,10000+ employees
67,Axis Securities,4.0,1.9k Reviews,Private,Mumbai + 225 more,15 years old,10000+ employees
68,Hyundai Motor,4.3,1.9k Reviews,Private,Seoul + 157 more,53 years old,10000+ employees
69,Sun Pharmaceutical Indus...,4.0,1.9k Reviews,Public,Mumbai + 100 more,37 years old,10000+ employees
70,Shapoorji Pallonji,4.3,1.9k Reviews,Private,Mumbai + 95 more,155 years old,10000+ employees
71,Vivo Smartphone,4.0,1.9k Reviews,Private,Dongguan + 226 more,11 years old,10000+ employees
72,Zydus Cadila,4.1,1.9k Reviews,Public,"Ahmedabad, India + 97 more",68 years old,10000+ employees
73,ITC,4.1,1.9k Reviews,Public,Kolkata + 121 more,110 years old,10000+ employees
74,Apollo Hospitals,4.1,1.8k Reviews,Public,Chennai + 91 more,37 years old,10000+ employees
75,UltraTech Cement,4.4,1.8k Reviews,Public,Mumbai + 200 more,37 years old,10000+ employees
76,Muthoot Fincorp,3.9,1.8k Reviews,Private,Kochi + 306 more,133 years old,10000+ employees
77,Mahindra & Mahindra Fina...,4.3,1.8k Reviews,Mumbai + 340 more,29 years old,10000+ employees,
78,NTT DATA,3.6,1.8k Reviews,Private,"Tokyo, JAPAN + 18 more",32 years old,10000+ employees
79,IIFL,3.8,1.8k Reviews,Public,Mumbai + 265 more,25 years old,10000+ employees
80,IDFC FIRST Bank,4.0,1.8k Reviews,Public,Mumbai + 144 more,26 years old,5001-10000 employees
81,Dominos Pizza,4.2,1.8k Reviews,Public,Ann Arbor + 151 more,60 years old,10000+ employees
82,Bosch,4.2,1.7k Reviews,Public,Sttugart + 55 more,134 years old,10000+ employees
83,Ujjivan Small Finance Ba...,4.1,1.7k Reviews,Public,Bengaluru + 224 more,3 years old,10000+ employees
84,TVS Motor,4.2,1.7k Reviews,Public,Hosur + 151 more,41 years old,5001-10000 employees
85,UnitedHealth,4.1,1.7k Reviews,Private,Minnesota + 10 more,43 years old,10000+ employees
86,EXL Service,3.8,1.7k Reviews,Private,"New York, USA + 15 more",21 years old,10000+ employees
87,Wipro Enterprises Ltd,3.7,1.7k Reviews,Bangalore + 41 more,75 years old,10000+ employees,
88,JBM Group,4.0,1.6k Reviews,Public,Gurugram + 50 more,37 years old,10000+ employees
89,eClerx,3.7,1.6k Reviews,Public,Mumbai + 11 more,20 years old,5001-10000 employees
90,Aurobindo Pharma,4.2,1.6k Reviews,Public,Hyderabad + 26 more,34 years old,10000+ employees
91,Hero MotoCorp,4.2,1.6k Reviews,Public,New Delhi + 170 more,36 years old,10000+ employees
92,NIIT Technologies,3.8,1.6k Reviews,Public,Noida + 101 more,16 years old,5001-10000 employees
93,Muthoot Group,3.8,1.6k Reviews,Public,New Delhi + 261 more,133 years old,10000+ employees
94,Simplex Infrastructures,3.8,1.5k Reviews,Public,Kolkata + 92 more,96 years old,5001-10000 employees
95,Cyient,3.6,1.5k Reviews,Public,Hyderabad + 20 more,29 years old,10000+ employees
96,Oracle,3.7,1.5k Reviews,Private,California + 23 more,43 years old,10000+ employees
97,Mylan Laboratories,4.2,1.5k Reviews,Private,"Canonsburg,Pennsylvania + 37 more",59 years old,10000+ employees
98,Syntel,3.6,1.5k Reviews,Private,Troy + 11 more,40 years old,10000+ employees
99,Max Life Insurance,4.3,1.5k Reviews,Partnership,Gurugram + 185 more,20 years old,10000+ employees
100,Fidelity National Inform...,3.9,1.5k Reviews,Private,Florida + 19 more,52 years old,10000+ employees
101,JP Morgan Chase,4.1,1.5k Reviews,Private,New York + 5 more,221 years old,10000+ employees
102,Tata Teleservices,4.3,1.5k Reviews,Public,Mumbai + 143 more,24 years old,1001-5000 employees
103,JustDial,3.8,1.4k Reviews,Public,Mumbai + 86 more,24 years old,10000+ employees
104,Siemens India,4.2,1.4k Reviews,Public,Mumbai + 67 more,153 years old,1001-5000 employees
105,PwC,3.6,1.4k Reviews,Partnership,New York + 38 more,22 years old,10000+ employees
106,Lava International,4.1,1.4k Reviews,Public,Noida + 175 more,11 years old,10000+ employees
107,First Source,4.0,1.4k Reviews,Public,Mumbai + 28 more,19 years old,10000+ employees
108,Dell,4.1,1.4k Reviews,Private,Texas + 47 more,36 years old,10000+ employees
109,Arvind Group,4.3,1.4k Reviews,Public,Ahmedabad + 110 more,89 years old,10000+ employees
110,State Bank of India,4.1,1.4k Reviews,Private,Mumbai + 198 more,65 years old,10000+ employees
111,Manappuram Finance,3.9,1.4k Reviews,Public,Thrissur + 239 more,71 years old,10000+ employees
112,Motherson Sumi Systems,3.9,1.4k Reviews,Public,Noida + 44 more,34 years old,10000+ employees
113,Oyo Rooms,3.5,1.4k Reviews,Private,Gurgaon + 77 more,7 years old,10000+ employees
114,Godrej & Boyce Manufactu...,4.0,1.3k Reviews,Private,Mumbai + 83 more,123 years old,10000+ employees
115,Larsen & Toubro Infotech,3.6,1.3k Reviews,Public,Mumbai + 48 more,24 years old,10000+ employees
116,TATA Steel,4.2,1.3k Reviews,Public,Mumbai + 67 more,113 years old,10000+ employees
117,Abbott Healthcare,4.2,1.3k Reviews,Public,Illinois + 108 more,132 years old,10000+ employees
118,Fullerton India,4.2,1.3k Reviews,Private,Mumbai + 247 more,13 years old,10000+ employees
119,McDonald's,4.3,1.3k Reviews,Private,Chicago + 91 more,66 years old,10000+ employees
120,LG Electronics,4.1,1.3k Reviews,Public,Greater Noida + 130 more,23 years old,10000+ employees
121,NCC,4.2,1.3k Reviews,Public,Hyderabad + 118 more,42 years old,5001-10000 employees
122,Gati kwe,4.0,1.3k Reviews,Private,Hyderabad + 113 more,8 years old,5001-10000 employees
123,Renault-Nissan,4.0,1.3k Reviews,Partnership,Amsterdam + 51 more,21 years old,10000+ employees
124,JSW Steel,4.0,1.3k Reviews,Public,Mumbai + 44 more,38 years old,10000+ employees
125,Suzlon Group,4.1,1.3k Reviews,Public,Pune + 57 more,25 years old,5001-10000 employees
126,Tata Communications,4.2,1.3k Reviews,Public,Mumbai + 67 more,34 years old,10000+ employees
127,Ford Motor,4.4,1.3k Reviews,Private,Michigan + 79 more,117 years old,10000+ employees
128,RBS,4.1,1.3k Reviews,Private,Edinburgh + 16 more,293 years old,10000+ employees
129,Shoppers Stop,4.3,1.3k Reviews,Public,Mumbai + 51 more,29 years old,10000+ employees
130,Sodexo,4.2,1.3k Reviews,Private,Paris + 75 more,54 years old,10000+ employees
131,Hindustan Coca Cola Beve...,4.4,1.3k Reviews,Private,Bangalore + 116 more,23 years old,10000+ employees
132,Mindtree,3.8,1.3k Reviews,Public,Bangalore + 12 more,21 years old,10000+ employees
133,Omega Healthcare,3.9,1.3k Reviews,Private,Florida + 10 more,16 years old,10000+ employees
134,Royal Enfield,4.2,1.2k Reviews,Private,Chennai + 138 more,119 years old,10000+ employees
135,Atos,3.8,1.2k Reviews,Private,Bezons + 21 more,23 years old,10000+ employees
136,Bajaj Auto,4.1,1.2k Reviews,Public,Pune + 139 more,75 years old,10000+ employees
137,Subros,4.0,1.2k Reviews,Public,New Delhi + 19 more,35 years old,1001-5000 employees
138,Bandhan Bank,3.8,1.2k Reviews,Public,Pune + 241 more,12 years old,10000+ employees
139,AU Small Finance Bank,3.8,1.2k Reviews,Private,Jaipur + 159 more,24 years old,10000+ employees
140,iEnergizer,3.6,1.2k Reviews,Private,Noida + 8 more,20 years old,10000+ employees
141,Hetero Drugs,4.0,1.2k Reviews,Private,Hyderabad + 15 more,27 years old,10000+ employees
142,Honda,4.2,1.2k Reviews,Private,Tokyo + 120 more,72 years old,10000+ employees
143,Megha Engineering and In...,4.3,1.2k Reviews,Private,Hyderabad + 94 more,31 years old,5001-10000 employees
144,JLL,4.3,1.2k Reviews,Private,Illinois + 41 more,23 years old,10000+ employees
145,Thermax,4.2,1.1k Reviews,Public,Pune + 73 more,54 years old,10000+ employees
146,Huawei Technologies,3.6,1.1k Reviews,Private,Shenzhen + 76 more,33 years old,10000+ employees
147,KPMG,3.7,1.1k Reviews,Partnership,Amstelveen + 29 more,33 years old,10000+ employees
148,Equitas Small Finance Ba...,3.8,1.1k Reviews,Private,Chennai + 204 more,13 years old,10000+ employees
149,PepsiCo,4.4,1.1k Reviews,Private,New York + 164 more,122 years old,10000+ employees
150,Cgi Group,3.9,1.1k Reviews,Private,Montreal + 7 more,44 years old,10000+ employees
151,HCL Infosystems,3.9,1.1k Reviews,Public,Noida + 91 more,44 years old,10000+ employees
152,Schneider Electric,4.2,1.1k Reviews,Private,Rueil-Malmaison + 47 more,184 years old,10000+ employees
153,Titan Company,4.4,1.1k Reviews,Public,Bangalore + 89 more,36 years old,5001-10000 employees
154,DTDC Express,4.0,1.1k Reviews,Private,Bangalore + 137 more,30 years old,10000+ employees
155,SBI Life Insurance Compa...,3.9,1.1k Reviews,Public,Mumbai + 258 more,20 years old,10000+ employees
156,Future Retail,4.2,1.1k Reviews,Public,Mumbai + 134 more,33 years old,10000+ employees
157,Hexaware Technologies,3.5,1.1k Reviews,Public,Mumbai + 12 more,30 years old,10000+ employees
158,Reliance Life Insurance,3.8,1.1k Reviews,Private,Mumbai + 274 more,19 years old,10000+ employees
159,CMS IT Services,3.2,1.1k Reviews,Private,Bengaluru + 86 more,44 years old,5001-10000 employees
160,ABB Group,4.2,1.1k Reviews,Public,Zurich + 67 more,32 years old,10000+ employees
161,John Deere,4.4,1.1k Reviews,Private,Moline + 59 more,183 years old,10000+ employees
162,Fortis Healthcare,4.1,1.1k Reviews,Public,Gurugram + 43 more,19 years old,10000+ employees
163,State Street Syntel,3.8,1.1k Reviews,Private,Mumbai + 5 more,40 years old,10000+ employees
164,CBRE,4.2,1.1k Reviews,Private,Los Angeles + 31 more,114 years old,10000+ employees
165,TAFE - Tractors and Farm...,4.2,1.1k Reviews,Public,Chennai + 86 more,60 years old,5001-10000 employees
166,Ipca Laboratories,4.0,1.1k Reviews,Public,Mumbai + 75 more,71 years old,10000+ employees
167,Glenmark Pharmaceuticals,4.1,1.1k Reviews,Public,Mumbai + 72 more,43 years old,10000+ employees
168,BNY Mellon,3.9,1.1k Reviews,Private,New York + 4 more,236 years old,10000+ employees
169,Life Insurance Corporati...,4.4,1.1k Reviews,Private,Mumbai + 251 more,64 years old,10000+ employees
170,SBI Cards & Payment Serv...,4.0,1.1k Reviews,Private,Gurugram + 134 more,22 years old,1001-5000 employees
171,Kec International,4.3,1k Reviews,Public,Mumbai + 113 more,75 years old,5001-10000 employees
172,VE Commercial Vehicles,4.1,1k Reviews,Private,Gurugram + 62 more,12 years old,10000+ employees
173,Standard Chartered Bank,4.0,1k Reviews,Private,London + 48 more,51 years old,10000+ employees
174,Bel,4.4,1k Reviews,Private,Bangalore + 18 more,66 years old,10000+ employees
175,Dewan Housing Finance Co...,4.4,1k Reviews,Public,Mumbai + 160 more,36 years old,1001-5000 employees
176,Eureka Forbes,4.0,1k Reviews,Private,Mumbai + 118 more,38 years old,10000+ employees
177,Intas Pharmaceuticals,4.2,1k Reviews,Private,Ahmedabad + 76 more,36 years old,10000+ employees
178,Honda Motorcycle & Scoot...,4.2,1k Reviews,Private,Gurugram + 109 more,21 years old,1001-5000 employees
179,Pfizer,4.4,1k Reviews,Public,New York + 74 more,171 years old,10000+ employees
180,Landmark Group,4.2,1k Reviews,Private,Dubai + 79 more,47 years old,10000+ employees
181,Bhushan Power & Steel,3.8,1k Reviews,Private,New Delhi + 39 more,50 years old,5001-10000 employees
182,Rivigo,3.8,1k Reviews,Private,Gurgaon + 113 more,6 years old,10000+ employees
183,Torrent Pharmaceuticals,4.2,1k Reviews,Public,Ahmedabad + 71 more,61 years old,10000+ employees
184,ICICI Lombard General In...,4.0,1k Reviews,Public,Mumbai + 127 more,19 years old,5001-10000 employees
185,Alkem Laboratories,4.1,1k Reviews,Public,Mumbai + 81 more,47 years old,10000+ employees
186,Havells,4.2,1k Reviews,Public,Noida + 77 more,62 years old,10000+ employees
187,Cholamandalam Investment...,4.2,1k Reviews,Private,Chennai + 278 more,42 years old,10000+ employees
188,Cummins Sales and Servic...,4.3,998 Reviews,Private,Columbus + 54 more,101 years old,1001-5000 employees
189,Indian Oil Corporation,4.4,998 Reviews,Private,New Delhi + 122 more,61 years old,10000+ employees
190,Deutsche Bank AG,4.1,997 Reviews,Frankfurt + 21 more,150 years old,10000+ employees,
191,ACC,4.2,996 Reviews,Public,Mumbai + 102 more,84 years old,10000+ employees
192,KPIT Technologies,3.6,993 Reviews,Private,Pune + 17 more,26 years old,5001-10000 employees
193,UST Global,3.8,992 Reviews,Private,Aliso Viejo + 20 more,21 years old,10000+ employees
194,Varun Beverages,4.1,989 Reviews,Public,Gurgaon + 98 more,25 years old,1001-5000 employees
195,Jindal Steel and Power,4.1,988 Reviews,Private,New Delhi + 63 more,68 years old,10000+ employees
196,IQVIA,4.0,986 Reviews,Partnership,Durham + 20 more,38 years old,10000+ employees
197,Ecom Express,4.1,983 Reviews,Private,Gurugram + 238 more,8 years old,10000+ employees
198,Indiamart Intermesh,3.7,981 Reviews,Private,Noida + 50 more,24 years old,1001-5000 employees
199,G4S,4.2,972 Reviews,Private,London + 69 more,119 years old,10000+ employees
200,Flextronics Technologies,4.0,963 Reviews,Private,San Jose + 16 more,51 years old,10000+ employees
201,Aircel,4.3,962 Reviews,Private,Mumbai + 105 more,21 years old,5001-10000 employees
202,L & T Finance,4.1,961 Reviews,Public,Mumbai + 194 more,26 years old,10000+ employees
203,Bajaj Electricals,4.3,958 Reviews,Public,Mumbai + 111 more,82 years old,10000+ employees
204,D Mart,4.2,953 Reviews,Private,Mumbai + 74 more,20 years old,1001-5000 employees
205,Indian Navy,4.7,940 Reviews,Private,New Delhi + 45 more,73 years old,10000+ employees
206,Radisson Hotels,4.2,939 Reviews,Private,Brussels + 63 more,60 years old,10000+ employees
207,American Express,4.3,936 Reviews,Public,New York + 23 more,170 years old,10000+ employees
208,Macleods Pharmaceuticals,4.1,935 Reviews,Public,Mumbai + 52 more,34 years old,5001-10000 employees
209,Dabur,4.3,934 Reviews,Public,New Delhi + 119 more,136 years old,10000+ employees
210,Apollo Tyres,4.3,929 Reviews,Public,Gurgaon + 90 more,48 years old,10000+ employees
211,Alembic Pharmaceuticals,4.1,920 Reviews,Public,Vadodara + 68 more,113 years old,10000+ employees
212,Hindalco Industries,4.3,916 Reviews,Public,Mumbai + 46 more,62 years old,10000+ employees
213,Delhi Public School,4.0,915 Reviews,Private,Delhi + 158 more,71 years old,10000+ employees
214,Videocon d2h,3.8,914 Reviews,Public,Mumbai + 127 more,11 years old,5001-10000 employees
215,RSPL Group,4.0,913 Reviews,Private,Kanpur + 84 more,32 years old,10000+ employees
216,BHEL,4.4,912 Reviews,Private,New Delhi + 61 more,64 years old,10000+ employees
217,Maersk Global Service Ce...,4.2,909 Reviews,Private,Copenhagen + 9 more,21 years old,10000+ employees
218,MAGMA Fincorp,4.2,903 Reviews,Public,Kolkata + 187 more,32 years old,10000+ employees
219,Capita,3.6,902 Reviews,Private,"London,England + 5 more",36 years old,10000+ employees
220,Patanjali Ayurved,3.8,897 Reviews,Private,New Delhi + 144 more,14 years old,10000+ employees
221,Wells Fargo,4.1,896 Reviews,Private,San Francisco + 5 more,168 years old,10000+ employees
222,DCB Bank,3.9,882 Reviews,Private,Mumbai + 147 more,90 years old,5001-10000 employees
223,Team Lease,4.0,878 Reviews,Public,Bangalore + 102 more,18 years old,10000+ employees
224,Amdocs,4.0,878 Reviews,Private,Chesterfield + 6 more,38 years old,10000+ employees
225,Thomson Reuters,4.2,876 Reviews,Private,Toronto + 16 more,12 years old,10000+ employees
226,TVS Sundram Fasteners,4.0,870 Reviews,Public,Chennai + 23 more,54 years old,10000+ employees
227,Big Bazaar,4.3,865 Reviews,Private,Mumbai + 120 more,19 years old,10000+ employees
228,Karvy Fintech,3.6,863 Reviews,Hyderabad + 66 more,42 years old,5001-10000 employees,
229,Pidilite Industries,4.4,863 Reviews,Public,Mumbai + 108 more,61 years old,1001-5000 employees
230,Max Healthcare,4.1,858 Reviews,Partnership,New Delhi + 41 more,35 years old,1001-5000 employees
231,Rane TRW Steering System...,4.1,856 Reviews,Private,Chennai + 41 more,33 years old,5001-10000 employees
232,Delhivery,4.1,855 Reviews,Private,Gurgaon + 174 more,9 years old,10000+ employees
233,Ceat Tyres,4.3,854 Reviews,Public,Mumbai + 63 more,62 years old,10000+ employees
234,Jet Airways,4.5,843 Reviews,Public,Mumbai + 40 more,27 years old,10000+ employees
235,Nestle,4.2,841 Reviews,Public,Vevey + 111 more,154 years old,10000+ employees
236,24/7 Customer,3.8,836 Reviews,Private,San Jose + 5 more,20 years old,10000+ employees
237,Adani Power,4.3,836 Reviews,Public,Ahmedabad + 63 more,24 years old,1001-5000 employees
238,Wockhardt,4.2,834 Reviews,Public,Mumbai + 58 more,21 years old,5001-10000 employees
239,Lifestyle,4.4,832 Reviews,Private,Bangalore + 60 more,21 years old,10000+ employees
240,Vishal Mega Mart,4.0,822 Reviews,Private,Gurugram + 138 more,34 years old,5001-10000 employees
241,Dilip Buildcon,4.1,821 Reviews,Public,Bhopal + 83 more,32 years old,10000+ employees
242,Voltas,4.2,820 Reviews,Public,Mumbai + 90 more,66 years old,10000+ employees
243,café Coffee day,4.0,817 Reviews,Private,Banglore + 64 more,24 years old,10000+ employees
244,Yamaha Motor,4.0,816 Reviews,Private,Iwata + 78 more,65 years old,10000+ employees
245,Edelweiss,3.9,813 Reviews,Public,Mumbai + 118 more,25 years old,10000+ employees
246,JMC Projects,4.2,805 Reviews,Public,Mumbai + 46 more,38 years old,5001-10000 employees
247,Kotak Mahindara Life Ins...,3.9,804 Reviews,Mumbai + 116 more,19 years old,10000+ employees,
248,PNB MetLife,3.8,800 Reviews,Private,Mumbai + 143 more,19 years old,10000+ employees
249,Blue Star,4.2,799 Reviews,Public,Mumbai + 78 more,77 years old,10000+ employees
250,Birla Sun Life Insurance,4.2,797 Reviews,Partnership,Mumbai + 189 more,20 years old,10000+ employees
251,Exide Industries,4.0,797 Reviews,Public,Kolkata + 119 more,100 years old,10000+ employees
252,Exide Life Insurance,3.7,794 Reviews,Private,Bengaluru + 144 more,19 years old,10000+ employees
253,MRF Tyres,3.8,792 Reviews,Public,Chennai + 117 more,74 years old,10000+ employees
254,AFCONS Infrastructure,4.4,786 Reviews,Partnership,Mumbai + 36 more,61 years old,5001-10000 employees
255,Itc Infotech India,3.4,780 Reviews,Private,Kolkata + 24 more,20 years old,10000+ employees
256,RBL Bank,3.8,780 Reviews,Public,Mumbai + 120 more,77 years old,10000+ employees
257,Udaan,4.2,777 Reviews,Private,Bangalore + 138 more,4 years old,1001-5000 employees
258,PVR Cinemas,4.2,775 Reviews,Public,Gurgaon + 65 more,23 years old,10000+ employees
259,Blue Dart Express,4.1,772 Reviews,Public,Mumbai + 109 more,37 years old,10000+ employees
260,Aakash Institute,3.5,772 Reviews,Private,New Delhi + 108 more,32 years old,1001-5000 employees
261,Tata Motors Finance,4.3,769 Reviews,Private,Thane + 169 more,63 years old,1001-5000 employees
262,Ajanta Pharma,3.9,768 Reviews,Public,Mumbai + 68 more,47 years old,5001-10000 employees
263,Biocon,4.2,767 Reviews,Public,Bangalore + 44 more,42 years old,10000+ employees
264,Bank of America,4.3,763 Reviews,Private,Charlotte + 18 more,22 years old,10000+ employees
265,Micro Labs,3.8,761 Reviews,Private,Bangalore + 72 more,47 years old,10000+ employees
266,Tata AIA Life Insurance,3.9,760 Reviews,Private,Mumbai + 128 more,19 years old,10000+ employees
267,Ola Cabs,4.0,753 Reviews,Private,Bangalore + 61 more,10 years old,10000+ employees
268,Sterling & Wilson,4.2,753 Reviews,Private,Mumbai + 49 more,93 years old,5001-10000 employees
269,Emcure Pharmaceuticals,3.7,752 Reviews,Private,Pune + 59 more,39 years old,10000+ employees
270,Punj Lloyd,4.2,750 Reviews,Public,Gurugram + 60 more,32 years old,5001-10000 employees
271,Welspun Group,4.2,750 Reviews,Public,Mumbai + 24 more,35 years old,10000+ employees
272,Mankind Pharma,4.1,748 Reviews,Private,New Delhi + 101 more,25 years old,10000+ employees
273,3i Infotech,3.8,747 Reviews,Public,Mumbai + 62 more,27 years old,5001-10000 employees
274,Randstad,4.0,746 Reviews,Private,Diemen + 103 more,60 years old,10000+ employees
275,Indiabulls,4.0,745 Reviews,Public,Mumbai + 101 more,20 years old,10000+ employees
276,Ambuja Cements,4.2,743 Reviews,Public,Mumbai + 106 more,37 years old,10000+ employees
277,BigBasket,4.1,743 Reviews,Private,Bangalore + 30 more,9 years old,5001-10000 employees
278,Force Motors,3.8,742 Reviews,Public,Pune + 57 more,62 years old,10000+ employees
279,Shahi Exports,4.2,742 Reviews,Private,Faridabad + 30 more,46 years old,10000+ employees
280,Tata Capital Financial S...,4.2,736 Reviews,Public,Mumbai + 89 more,13 years old,5001-10000 employees
281,Karvy Data Management Se...,3.6,734 Reviews,Private,Hyderabad + 61 more,12 years old,1001-5000 employees
282,Mahindra Holidays & Reso...,3.9,731 Reviews,Private,Mumbai + 65 more,24 years old,10000+ employees
283,I Process Services,3.7,730 Reviews,Private,New Delhi + 125 more,15 years old,10000+ employees
284,JK Tyres,3.9,727 Reviews,Private,New Delhi + 83 more,69 years old,10000+ employees
285,ACT Fibernet,4.1,726 Reviews,Private,Bangalore + 22 more,12 years old,5001-10000 employees
