,name,rating,reviews,type,hq,old,employees
9751,OEC Records Management,4.0,27 Reviews,Kolkata + 7 more,,,
9752,AMS Comtel BPMS,3.8,27 Reviews,Noida + 1 more,,,
9753,MV Omni Projects India,3.7,27 Reviews,Private,Ahmedabad + 3 more,18 years old,
9754,Dew Solutions,4.1,27 Reviews,Private,Gurgaon + 2 more,51-200 employees,
9755,Marcura India,3.2,27 Reviews,Dubai,,,
9756,Aarvee Denims & Exports,4.3,27 Reviews,Private,Ahmedabad,1001-5000 employees,
9757,Rays Power Experts,3.8,27 Reviews,Private,New Delhi + 2 more,1-50 employees,
9758,Inductus Consultants,2.9,27 Reviews,Gwalior + 6 more,,,
9759,Relay Express,3.9,27 Reviews,Private,Ahmedabad + 9 more,7 years old,
9760,OM SOFTWARE,3.2,27 Reviews,Private,Bhopal + 5 more,16 years old,201-500 employees
9761,India Garage,3.7,27 Reviews,Chennai + 1 more,,,
9762,Fleming Laboratories,3.8,27 Reviews,Medak,,,
9763,Plant Lipids,3.9,27 Reviews,Hyderabad + 2 more,,,
9764,Accurex Biomedical,3.8,27 Reviews,Hyderabad + 11 more,,,
9765,Wish Net,3.2,27 Reviews,Private,Kolkata,,
9766,Aryan International,3.3,27 Reviews,Private,Noida + 6 more,1-50 employees,
9767,Garware Bestretch,4.4,27 Reviews,Private,Pune,201-500 employees,
9768,Ascentrik Research Servi...,1.7,27 Reviews,Private,Pune,10 years old,51-200 employees
9769,PHD Chamber of Commerce ...,3.3,27 Reviews,Private,New Delhi + 3 more,1001-5000 employees,
9770,Terminal Technologies (i...,4.5,27 Reviews,Pune + 2 more,,,
9771,K-Electric,4.4,27 Reviews,Private,Chennai + 1 more,5001-10000 employees,
9772,Radisson Blu Resort and ...,3.9,27 Reviews,Kolkata + 4 more,,,
9773,Balaji Amines,4.2,27 Reviews,Public,Hyderabad,,
9774,Chemline India,3.1,27 Reviews,New Delhi + 1 more,,,
9775,Clavax Technologies,3.4,27 Reviews,Private,San Jose,51-200 employees,
9776,Metlonics Industries,3.8,27 Reviews,Mohali,,,
9777,Resilinc,2.0,27 Reviews,Private,Santa Clara,10 years old,51-200 employees
9778,Abaris Healthcare,3.9,27 Reviews,Ahmedabad + 5 more,,,
9779,Colruyt IT Consultancy I...,3.4,27 Reviews,Hyderabad,,,
9780,Afflatus International,4.2,27 Reviews,Noida + 1 more,,,
9781,R K D Construction,4.3,27 Reviews,Private,Bhubaneswar,40 years old,1001-5000 employees
9782,ICAT,3.4,27 Reviews,Private,Manesar + 2 more,201-500 employees,
9783,Lacoste,4.1,27 Reviews,Private,Noida + 11 more,87 years old,51-200 employees
9784,BEKEM Infra Projects,4.2,27 Reviews,Hyderabad + 2 more,,,
9785,GD Goenka University,4.1,27 Reviews,Private,Sohna + 2 more,51-200 employees,
9786,Matrix Media Solutions,4.1,27 Reviews,Private,Kolkata,,
9787,Malpani Group,3.8,27 Reviews,Navi Mumbai + 5 more,,,
9788,Faces Cosmetics,4.3,27 Reviews,Gurgaon + 6 more,11 years old,51-200 employees,
9789,JBK Controls,4.0,27 Reviews,Private,Doha + 1 more,501-1000 employees,
9790,ITC Gardenia,4.3,27 Reviews,Kolkata,,,
9791,ADCO,4.6,27 Reviews,Mumbai + 2 more,,,
9792,Emmbi Industries,3.8,27 Reviews,Public,Mumbai + 1 more,,
9793,Child In Need Institute,3.9,27 Reviews,Private,Calcutta + 2 more,1001-5000 employees,
9794,ALCHEMIST FOODS,3.6,27 Reviews,Bengaluru + 6 more,,,
9795,Kamai Elevators,3.8,27 Reviews,Private,Chennai + 5 more,6 years old,
