,urls
34,https://www.quikr.com/electronics-appliances/showroom-condition-urgent-sale-apple-laptop-almost-like-new-25000-apple-individual+kolkata+W0QQAdIdZ338789659
35,https://www.quikr.com/electronics-appliances/dell-latitude-d420-12-netbook-intel-core-2-duo-processor-laptop-gently-used-4800-individual-2gb-12-to-12.9+gurgaon+W0QQAdIdZ338832693
36,https://www.quikr.com/electronics-appliances/compaq-presario-v2000-laptop-gently-used-8000-individual+delhi+W0QQAdIdZ338643204
37,https://www.quikr.com/electronics-appliances/apple-15.4-inch-a1707-2017-core-i7-4-th-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337934725
38,https://www.quikr.com/electronics-appliances/hp-13.3-inch-spectre-pro-x360-g2-core-i7-6th-gen-8-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337933061
39,https://www.quikr.com/electronics-appliances/apple-13.3-inch-macbook-air-a1466-2017-core-i5-5th-gen-8-gb-ram-128-gb-ssd-+bangalore+W0QQAdIdZ337936842
40,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-a1398-mid-2012-core-i7-3rd-16-gb-ram-512-gb-hdd-+bangalore+W0QQAdIdZ337934255
41,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-mid-2015-core-i7-4th-gen-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ338544536
42,https://www.quikr.com/electronics-appliances/call-08040901432-9845452721-refurbished-excellent-condition-best-price-lenovo-thinkpad-l-412-laptop-core-i5-1st-gen-4gb-ram-320gb-harddisk-14-screen.-price-11-000.-almost-like-new-11000-dealer-14-to-14.9+bangalore+W0QQAdIdZ338912677
43,https://www.quikr.com/electronics-appliances/dell-enspiron-5000-laptop-with-almost-like-new-8707440252-24999-individual-4gb-15-to-15.9+noida+W0QQAdIdZ338533025
44,https://www.quikr.com/electronics-appliances/hp-laptop-i5-processor-8gb-ram-2gb-graphics-1tb-hdd-15.6-inch-display-gaming-laptop+bangalore+W0QQAdIdZ338922094
45,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-early-2013-core-i7-5th-gen-16-gb-ram-256-gb-ssd-+bangalore+W0QQAdIdZ337936367
46,https://www.quikr.com/electronics-appliances/apple-15.4-inch-a1286-mid-2010-core-i5-4-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337933856
47,https://www.quikr.com/electronics-appliances/hp-13.3-inch-spectre-pro-x360-g2-core-i7-6th-gen-8-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337933034
48,https://www.quikr.com/electronics-appliances/apple-13.3-inch-apple-macbook-air-a1466-early-2015-core-i7-5th-gen-8-gb-ram-256-gb-ssd-+bangalore+W0QQAdIdZ337934253
49,https://www.quikr.com/electronics-appliances/asus-vivobook-x556ur-laptop-gently-used-34999-dealer-more-than-8gb-15-to-15.9+bangalore+W0QQAdIdZ338524472
50,https://www.quikr.com/electronics-appliances/core-i3-hp-from-ksa-hp-hewlett-packard-laptop-gently-used-12000-hp-hewlett-packard-individual-4gb-14-to-14.9+hyderabad+W0QQAdIdZ338758956
51,https://www.quikr.com/electronics-appliances/hp-elitebook-8460p-core-i7-laptop-for-sale+bangalore+W0QQAdIdZ338907899
52,https://www.quikr.com/electronics-appliances/lenovo-z51-70-80k6-i5-5th-gen-i5-5200u-8-gb-ram-laptop-almost-like-new-25000-individual-8gb-15-to-15.9+ghaziabad+W0QQAdIdZ338760296
53,https://www.quikr.com/electronics-appliances/apple-15.4-inch-macbook-pro-a1398-early-2013-core-i7-16-gb-ram-512-gb-ssd-+bangalore+W0QQAdIdZ337935225
54,https://www.quikr.com/electronics-appliances/hp-intel-i3-3rd-gen-4gb-ram-320gb-hdd-2gb-hd-graphics-gaming-laptop-hp-hewlett-packard-almost-like-new-10600-hp-hewlett-packard-verified-seller-dealer-14-to-14.9+bangalore+W0QQAdIdZ338876887
55,https://www.quikr.com/electronics-appliances/laptop-sell-sony-i5-processor-gently-used-20000-individual-4gb+hyderabad+W0QQAdIdZ338837556
56,https://www.quikr.com/electronics-appliances/lenovo-ideapad-320s-laptop-almost-like-new-25000-individual-4gb-14-to-14.9+mumbai+W0QQAdIdZ338922402
57,https://www.quikr.com/electronics-appliances/hp-pavilion-x360-laptop-for-sale-hp-hewlett-packard-almost-like-new-55000-hp-hewlett-packard-individual+delhi+W0QQAdIdZ338922773
58,https://www.quikr.com/electronics-appliances/dell-latitude-7350-laptop-almost-like-new-36000-dealer-8gb-13-to-13.9+delhi+W0QQAdIdZ338814251
59,https://www.quikr.com/electronics-appliances/sturdy-laptop-for-cheap-price-fujitsu-siemens-gently-used-6000-fujitsu-siemens-individual-2gb-15-to-15.9+delhi+W0QQAdIdZ338905789
60,https://www.quikr.com/electronics-appliances/core-i5-5th-generation-8-gb-ram-500gb-hard-disk-inbuilt-intel-graphics-card-backup-upto-3-hrs.-hp-hewlett-packard-laptop-gently-used-22000-hp-hewlett-packard-individual+pune+W0QQAdIdZ338873098
61,https://www.quikr.com/electronics-appliances/call-08040901432-9845452721-refurbished-excellent-condition-best-price-dell-precision-m6800-workstation-laptop-core-i7-4th-gen-8gb-ram-500gb-harddisk-4gb-nvidia-quadro-k4100-graphic-2gb-i-almost-like-new-27000-dealer-above-16+bangalore+W0QQAdIdZ338847255
62,https://www.quikr.com/electronics-appliances/refurbished-lenovo-t412-core-i5-processor-laptops-320gb-4gb-ram-wi-fi-.-7500-fix-price-gently-used-dealer-14-to-14.9+hyderabad+W0QQAdIdZ334907248
63,https://www.quikr.com/electronics-appliances/dell-laptop-i3-processor-4gb-ram-512gb-internal-storage-webcam-almost-like-new-20000-verified-seller-dealer+mumbai+W0QQAdIdZ338576819
64,https://www.quikr.com/electronics-appliances/call-9035800111-we-have-wide-range-of-used-apple-laptops-macbook-pro-gently-used-54000-dealer+bangalore+W0QQAdIdZ338822526
65,https://www.quikr.com/electronics-appliances/dell-i7-latitude-model-laptop-gently-used-27250-verified-seller-dealer-8gb-13-to-13.9+delhi+W0QQAdIdZ338471202
66,https://www.quikr.com/electronics-appliances/apple-macbook-pro-4gb-500gb-core-2-duo-13-refurbished-laptop-almost-like-new-15999-verified-seller-dealer-13-to-13.9+delhi+W0QQAdIdZ338094160
67,https://www.quikr.com/electronics-appliances/dell-optiplex-380-.-17icnh-tft-monitor-full-system-keyboard-mouse-2gb-160gb-hdd-in-condition-laptop-gently-used-6500-dealer+bangalore+W0QQAdIdZ338718074
68,https://www.quikr.com/electronics-appliances/refurbished-lenovo-thinkpad-l420-core-i5-2nd-gen-laptop-4gb-ram-320gb-hard-disk-brand-new-condition-with-bill-3-months-warranty.-almost-like-new-9999-verified-seller-dealer-14-to-14.9+ghaziabad+W0QQAdIdZ338035786
69,https://www.quikr.com/electronics-appliances/used-desktop-dell-optiplex-980-intel-core-i5-1st-gen-650-3.20-ghz-4-gb-ram-500-gb-hdd-dos-operating-system.-laptop-gently-used-5950-dealer-4gb+bangalore+W0QQAdIdZ338711413
70,https://www.quikr.com/electronics-appliances/asus-rog-g-strix-gaming-laptop-in-super-new-condition+gopalganj+W0QQAdIdZ338697677
71,https://www.quikr.com/electronics-appliances/super-good-conition-not-used-one-day-lenovo-laptop-brand-new-27000-lenovo-individual+hyderabad+W0QQAdIdZ338922013
72,https://www.quikr.com/electronics-appliances/heavy-duty-dell-laptop-for-sale-in-gently-used-well-maintained-in-excellent-working-condition-pls-call-981148641o+delhi+W0QQAdIdZ338723190
73,https://www.quikr.com/electronics-appliances/sony-vaio-laptop-sve15115eab-+hyderabad+W0QQAdIdZ338893952
74,https://www.quikr.com/electronics-appliances/call-08040901432-9845452721-refurbished-excellent-condition-best-price-lenovo-thinkpad-e480-laptop-core-i7-8th-gen-8gb-ram-1tb-harddisk-14-screen-and-camera.-price-29-000-almost-like-new-29000-dealer-14-to-14.9+bangalore+W0QQAdIdZ338546873
75,https://www.quikr.com/electronics-appliances/dell-i3-4gb-500gb-laptop-almost-like-new-19000-individual-15-to-15.9+hyderabad+W0QQAdIdZ338897182
76,https://www.quikr.com/electronics-appliances/hp-official-laptop-intel-core-i5-fixed-price-genuine-buyers-chat-only+delhi+W0QQAdIdZ338838642
77,https://www.quikr.com/electronics-appliances/toshiba-portege-z30t-i7-4600u-2.10ghz-processor-16gb-ddr3-ram-laptop-almost-like-new-24000-individual-more-than-8gb+bangalore+W0QQAdIdZ338880791
78,https://www.quikr.com/electronics-appliances/intel-core-2-duo-3-hrs-backup-2gb-ram-neat-condition-excellent-laptop-lenovo-almost-like-new-5900-lenovo-verified-seller-dealer-14-to-14.9+bangalore+W0QQAdIdZ338533150
79,https://www.quikr.com/electronics-appliances/decent-condition-apple-macbook-pro-laptop-brand-new-24000-individual-4gb-13-to-13.9+delhi+W0QQAdIdZ338619587
80,https://www.quikr.com/electronics-appliances/dell-vostro-1310-laptop-almost-like-new-5500-individual-2gb+delhi+W0QQAdIdZ338879312
81,https://www.quikr.com/electronics-appliances/current-apple-macbook-pro-retina-core-i7-3.3ghz-16gb-512gb-ssd-13.3-laptop-gently-used-30000-individual-8gb-13-to-13.9+kolkata+W0QQAdIdZ338805603
82,https://www.quikr.com/electronics-appliances/refurbished-amd-645-model-hp-hewlett-packard-laptop-gently-used-18500-hp-hewlett-packard-verified-seller-dealer+delhi+W0QQAdIdZ338471271
83,https://www.quikr.com/electronics-appliances/-thinnest-lightest-macbook-12inch-in-excellent-condition-apple-laptop-almost-like-new-69000-apple-individual-8gb-12-to-12.9+bangalore+W0QQAdIdZ338646048
84,https://www.quikr.com/electronics-appliances/lenovo-g580-laptop-heavily-used-11000-individual+warangal+W0QQAdIdZ338542240
85,https://www.quikr.com/electronics-appliances/-genuine-product-windows-10-pro-for-laptop-desktop-at-just-rs.399-others-brand-new-others-individual+mumbai+W0QQAdIdZ338917802
86,https://www.quikr.com/electronics-appliances/imported-like-new-dell-latitude-e5430-core-i5-3nd-gen-laptops-320gb-4gb-ram-wi-fi-bluetooth-.-10999-fix-price-call-9866350995+adilabad+W0QQAdIdZ336770560
87,https://www.quikr.com/electronics-appliances/lenovo-core-i5-7th-gen-8-gb-1-tb-hdd-win-10pro-2-gb-graphics-ip-320-15ikb-laptop-15.6-inch-onyx-black-2.2-kg-+delhi+W0QQAdIdZ338917584
88,https://www.quikr.com/electronics-appliances/hp-laptop-in-excellent-condition-hp-hewlett-packard-gently-used-25000-hp-hewlett-packard-individual-4gb-15-to-15.9+chennai+W0QQAdIdZ338846375
89,https://www.quikr.com/electronics-appliances/i-want-lenovo-g560-to-sell-4gb-ram-500-gb-laptop-gently-used-15999-individual+bangalore+W0QQAdIdZ338847076
90,https://www.quikr.com/electronics-appliances/refurbished-asus-1015e-netbook-2gb-160gb-10.1-inch-laptop-almost-like-new-5999-verified-seller-dealer-below-12+delhi+W0QQAdIdZ338095222
91,https://www.quikr.com/electronics-appliances/compaq-presario-cq40core-2-duo-processor2gb-ram320gb-hard-drive-laptop-almost-like-new-6499-individual+delhi+W0QQAdIdZ338898539
92,https://www.quikr.com/electronics-appliances/intel-i3-500gb-4gb-hcl-me-icon-m54-laptop-gently-used-12499-individual-14-to-14.9+delhi+W0QQAdIdZ338905968
93,https://www.quikr.com/electronics-appliances/thinkpad-t460-lenovo-laptop-almost-like-new-44990-lenovo-individual+pune+W0QQAdIdZ338859022
94,https://www.quikr.com/electronics-appliances/used-and-refurbissed-laptops-availuable-in-many-configuration-price-9000rs-45000rs-call-8530522049-dell+ahmedabad+W0QQAdIdZ314850507
95,https://www.quikr.com/electronics-appliances/used-or-refurbissed-laptops-availuable-in-best-price-and-condition-starting-8999rs+gandhinagar+W0QQAdIdZ304171933
96,https://www.quikr.com/electronics-appliances/lenovo-laptop-on-sale-gently-used-17000-individual+mohali+W0QQAdIdZ338747281
97,https://www.quikr.com/electronics-appliances/dell-laptop-studio-1555-gently-used-8500-individual-2gb-15-to-15.9+noida+W0QQAdIdZ338604523
98,https://www.quikr.com/electronics-appliances/samsung-np300e5xcore-i3-processor4gb-ram500gb-hard-drive15.6-screen-size-laptop-almost-like-new-11499-individual+delhi+W0QQAdIdZ338898466
99,https://www.quikr.com/electronics-appliances/refurbished-asus-1015e-netbook-2gb-160gb-10.1-inch-laptop-brand-new-condition-with-bill-3-months-warranty.-almost-like-new-5999-verified-seller-dealer-below-12+noida+W0QQAdIdZ338036676
